"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C3","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C4,C6,C7","1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"C5","47n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C8,C9,C12,C13,C14,C15,C16","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7",""
"C10,C11","10uF","https://content.kemet.com/datasheets/KEM_T2005_T491.pdf","Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder","2",""
"D1","LED_PWR","~","LED_SMD:LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder","1",""
"D2","LED1","~","LED_SMD:LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder","1",""
"D3","LED2","~","LED_SMD:LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder","1",""
"D4","LED3","~","LED_SMD:LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder","1",""
"J1","Power Input","~","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","1",""
"J2","NRF24L01P","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J3","Motor Output","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J4","Position_Sensor","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J5","Programming","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J6","UART","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J7","Conn_01x28","~","Connector_PinHeader_2.54mm:PinHeader_1x28_P2.54mm_Vertical","1",""
"JP1","Jumper_2_Open","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"L1","47u","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/610/LB3218T470K_SS.pdf","Inductor_SMD:L_0603_1608Metric","1",""
"R1,R8,R10,R12","10k","~","-- mixed values --","4",""
"R2","5k","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R3,R4,R5,R6","330","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"R7,R9,R11","3.9k","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","3",""
"U1","DRV8316RRGFR","DRV8316RRGFR","ECE395:RGF0040E-IPC_A","1",""
"U4","LT1086-3.3","https://www.analog.com/media/en/technical-documentation/data-sheets/1086ffs.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U5","STM32G431VBTx","https://www.st.com/resource/en/datasheet/stm32g431vb.pdf","Package_QFP:LQFP-100_14x14mm_P0.5mm","1",""
